"id","date","symbol","open","high","low","close","volume","amount","adj_close"
424236,2024-03-03,NEPSE,1972.62,1975.39,1946.42,1960.3,5238696.00000,2058594017.50000,1958.8356107684058
423910,2024-02-29,NEPSE,2001.02,2007.57,1970.04,1972.09,6866165.00000,2570465842.00000,1982.1804855650878
423584,2024-02-28,NEPSE,2002.93,2009.5,1992.46,2000.77,4802051.00000,2025440925.82000,2000.9329683920473
423259,2024-02-27,NEPSE,1992.69,2007.85,1980.43,2001.64,4831386.00000,1851600800.80000,1994.6160591598345
422934,2024-02-26,NEPSE,1980.89,1997.52,1973.3,1992.3,5308222.00000,1987154441.20000,1983.0245427037537
422603,2024-02-25,NEPSE,2006.88,2011.81,1976.68,1979.02,8004638.00000,3067316424.40000,1991.4642995061104
422269,2024-02-22,NEPSE,2027.57,2030.4,2000.55,2005.83,8079759.00000,3133568507.70000,2014.3243531385042
421943,2024-02-21,NEPSE,2034.38,2044.44,2020.88,2026.59,5779027.00000,2212153216.80000,2030.2828035446112
421613,2024-02-20,NEPSE,2034.78,2043.5,2025.89,2033.06,7439151.00000,2919271479.90000,2033.6878937381437
421282,2024-02-18,NEPSE,2060.68,2062.32,2030.29,2034.82,9629208.00000,3735832376.70000,2041.0457677692702
420950,2024-02-15,NEPSE,2075.62,2077.1,2055.72,2062.03,10028103.00000,3836452881.30000,2067.3936176572975
420628,2024-02-14,NEPSE,2071.71,2081.62,2064.34,2076.5,10428141.00000,4119516730.70000,2072.4241683277974
420309,2024-02-13,NEPSE,2101.55,2101.55,2064.84,2070.59,11691941.00000,4655375664.30000,2078.8933664607084
419987,2024-02-12,NEPSE,2085.81,2103.91,2081.81,2101.16,8494620.00000,3560848883.70000,2092.3994021804397
419656,2024-02-11,NEPSE,2101.27,2109.32,2083.6,2085.82,9491861.00000,4066266069.70000,2097.4928459540233
419334,2024-02-08,NEPSE,2094.17,2097.97,2082.72,2096.32,8142813.00000,3128575967.88000,2091.2761070111765
419000,2024-02-07,NEPSE,2095.1,2107.57,2086.76,2090.64,7102894.00000,2822199970.00000,2091.1293499382077
418670,2024-02-06,NEPSE,2073.83,2087.24,2067.59,2085.71,6057485.00000,2566647410.10000,2081.3114893095076
418338,2024-02-05,NEPSE,2063.92,2084.8,2060.55,2076.27,6142480.00000,2374636355.70000,2066.0074179793824
418011,2024-02-04,NEPSE,2067.47,2072.9,2053.46,2061.7,8297040.00000,3178229920.50000,2062.6696361883273
417687,2024-02-01,NEPSE,2103.2,2103.22,2063.68,2067.01,10808011.00000,4141045849.70000,2075.811395419565
417361,2024-01-31,NEPSE,2119.17,2131.28,2088.48,2097.93,13315545.00000,5269524988.20000,2110.0231165498676
416701,2024-01-30,NEPSE,2105.87,2128.11,2105.46,2119.61,14182757.00000,5518074864.70000,2120.2820931670776
416376,2024-01-29,NEPSE,2097.48,2114.79,2097.23,2104.72,11518424.00000,4515273045.00000,2105.0353788730126
416048,2024-01-28,NEPSE,2084.63,2098.14,2075.37,2094.46,9581800.00000,3768753779.46000,2084.4658734945433
415725,2024-01-25,NEPSE,2088.49,2096.75,2072.78,2084.09,9689751.00000,3636442984.20000,2084.3258439520273
415088,2024-01-24,NEPSE,2098.97,2120.46,2083.45,2088.04,9996254.00000,3765405044.90000,2098.328026333664
414760,2024-01-23,NEPSE,2096.99,2112.15,2087.22,2098.29,10966628.00000,4220706533.00000,2097.8180246289007
414433,2024-01-22,NEPSE,2128.56,2134.81,2090.64,2098.69,16998961.00000,6287942319.50000,2112.75877161963
414109,2024-01-21,NEPSE,2156.51,2165.67,2123.86,2130.18,21881521.00000,7638902058.70000,2144.7356076741653
